login,username
"@Freemind2100","#PatriotesFrance"
"@butterfly_sr","Stephane ن"
"@TheoryJuan","French_ Cuisine"
"@LaderneA","Laderne anne"
"@AlassusDebit","Alassus Débith"
"@_AJ06","JeanAicard"
"@patrickjm2002","Pejiem"
"@ElPepithos","APOSTAT_ET_FIER"
"@beansavusa","Borduelle"
"@jeffBDX","jeff de France"
"@Zayatoshi","Zayatoshi"
"@LouisC70615","Louis Cargill"
"@PatrioteVendee","Vendée patriote"
"@frenchboy1966","lolo27"
"@chantalmerle","CHANTALMIAMI naissance citoyenne des"
"@Alfonsedosdane","Alphonse"
"@ArthurJM6","Arthur JM"
"@Livret_Anodin","Livret Anodin"
"@FaureMi","michel.faure"
"@Ber59370Lbi","LauXxx"
"@mathusal8m","MАТHUSALЕМ"
"@fredys770","FRED DAS"
"@bayard_jacques","BAYARD Jacques"
"@ParkerSimpsons","parker simpsons"
"@Antoine69420300","Antoinette"
"@CubitusN","Tu l'As Dans Le Cubitus"
"@oxidanse","FRANCSHIZE"
"@sherly6969","sherly6969"
"@EYM29200","EYM29200"
"@Bonaparte176908","Bonaparte"
"@Slovinskipierre","Slovinski Pierre"
"@RonnieJBis","Ronnie Jordan"
"@MonvoisinFabien","Fabien Monvoisin"
"@jeanphiFr","Péret jean philippe"
"@Corinne37944","Corinne"
"@ValentinMcDuff","Valentin McDuff"
"@20_cent46","Ó"
"@ErwanB29945","le Celte"
"@LVF_3","LeVRAIFrançais"
"@KriloffS","Kriloff Sébastien"
"@Turlottejp06","JPAlgarvian"
"@seb_paname","seb_de_paname"
"@LuDAU31","Lu’Do"
"@alucard__17","𝐀𝐥𝐮𝐜𝐚𝐫𝐝"
"@FrenchAussieQld","Andrew Coulton"
"@PortierPhilippe","PhilPort"
"@Ben359529221783","πατριώτης français..."
"@blood_brother00","Communauté IDENTITÉ LIBERTÉS/ Marion Marechal"
"@SobkowiakRolan2","Roland S B K"
"@CornecMerlet","Marylin"
"@pandadoux","Pandadoux"
"@irene_viale","IRINA13/83/97"
"@sperenzo777","Sandro"
"@CricriDam4","CricriDam4 PATRIOTE SOUTIEN"
"@patriciamoletti","Patri Ambrosio"
"@Annb73823301","Annb - UNION DES DROITES"
"@christel_w74019","Christel"
"@Milhpertuis2","Milhpertuis"
"@MichelQuebec17","quebec1768 #FrancePatriote #JeResteSurX"
"@occitazen","Occitazen"
"@LeNoctivague","Le Noctivague /I\"
"@actuenvif","Actu en Vif"
"@luisadasilvaal2","Lisa"
"@MyriamB7523","Myriam"
"@Irenedanj","IrèneDanj"
"@Divine_Angel69","Divine Patriote"
"@j_c_dusse25","Jean Claude Dusse"
"@LauronNicolas","Nicolas Lauron"
"@_pairme_","MP"
"@missgpadbol","Miss TINGUETTE"
"@FilleDFrance","JE CROIX"
"@Rey_062","R!eynald"
"@GodSaveTheCrown","Erik.UnitedKingdom-France"
"@Hd_65M","Hugo"
"@LeMarseillais_4","Gonzague"
"@stefresac","Defré SWAN"
"@ertseled491","Vallée de la Semoy"
"@infoblocagefr_","Info Blocage France"
"@ClaudeCizek","Claude Cizek"
"@Debeaulieu8","Debeaulieu.nour .la France est morte."
"@Vegeto232","Vegeto23"
"@fabien_mtp","fab-mtp"
"@DeboutGenteGens","Martel..."
"@jpp6962","vlom"
"@suiricsuiri","L-Islam nous a déclaré la guerre !"
"@Urendi_Maleldil","♗Urendi Maleldil!"
"@UCDM527507","La chaîne du TROLL"
"@Stephane_Poli","Stéphane POLI"
"@KEpanouie","karine épanouie"
"@MimieRop1","𝓜𝓲𝓶𝓲𝓮 𝓡𝓸𝓹"
"@olivierlecoq","Olivier Le Coq - Reconquête IDF"
"@JCM62MJC","Jean-Claude"
"@GuyPalat1","Membre"
"@MPetelet","Mathieu petelet"
"@LaetiSe74","LaetitiaS"
"@Christi14249824","Christian C.B."
"@WhoWhy58","Enough!"
"@tybert2018","Tybert2018"
"@Hermogene84","Hermogène"
"@DeidaraIwa41143","Brianticom347"
"@Jul_Taxi","FrenchPatriot"
"@AmeEcriture","Âme"
"@DaudyJean78887","Jean Claude"
"@MoonSkillers_","clément"
"@_bien_commun","Ze Fisch"
"@moses6532","maurice"
"@egressora","Serge Egressora"
"@oxmodidi","Cyrillus"
"@heronsuisse","Hэя!ои"
"@LeMagnifiqueFR","Le Magnifique"
"@Yoni__Tzioni","Yoni Tzioni 𓂆 يوني صهيوني • יוני ציוני"
"@hoflo","Flo 𝕏"
"@Charlenry17","HENRY Charles"
"@Mickael76D","Mick"
"@Jepisor","jipsor"
"@ElectionFr2027","Parti Complotiste"
"@Paulemploi6498","Paul emploie"
"@TaravanaLife","Ouutch987"
"@dewokisateur","Contrecaps"
"@giles_et","GI jo patriote"
"@2300Chri72687","christian"
"@contre_poison","Journal Contre-Poison"
"@eustone_","Shady  𝕏"
"@JY2CHARLIE","JY2CHARLIE"
"@robobroll","chante sloubi"
"@ericlepatriote","ericl"
"@farnc_ben","B3n F4r3nc"
"@whathef85","Max Ime"
"@jfg1605","jfg1605"
"@RNouvAquitaine","RECONQUÊTE NOUVELLE AQUITAINE"
"@PaslapizzaJ","Paslapizza James"
"@extremefrexit","Extrême France"
"@saaidi_mabrouk","mabrouk saaidi"
"@SmartSoothSayer","𝕏 Harvey HOOPER"
"@TMOY07253013","TMOY"
"@extremefrexitna","Extrême Frexit Natio"
"@MariePauleDUMO1","MariSara S."
"@JamesAl12169162","Alcala"
"@Davelefrancais","Dave 007"
"@Faa_Raito_Uingu","╰LeCapitaineAilé╯"
"@JeanMairede","Patriote Dépossédé"
"@boy58143","G.F"
"@phil_fouineur","PHILOU"
"@prestigeautore2","claude Ckleinbauer"
"@Laurent56895090","milites"
"@AnthoVousTroll","Antho"
"@garciasandrina","sandrina"
"@LD280412","L.D images"
"@Val_de_nuit","Val  #PIC"
"@Irene_056975","BERENYI Irène"
"@jefflct","Per ardua ad astra."
"@DupontLaur7977","leDahliarouge être soi-même, c’est être heu.."
"@absurdehumanite","Cocotte & Co"
"@NatachaOlynka","Flore de Brissac"
"@MondonStep9956","Stephane Mondon"
"@jbmigeon","Jean Migeon"
"@Bridellight7","Bridell"
"@BilleauFabien","fabien billeau"
"@routoli2","Routoli2"
"@PatrioteSarthe","Patriote"
"@Oursbrunpetit","Ours"
"@RXyyxyxy39662","Mathieu / Матье"
"@Avanpil","A.Vanpil"
"@GermainHen7169","Germain Henri"
"@ThomasNekoVN","ThomasNeko"
"@immigration0NON","Charles MARTEL 732"
"@braconnier1812","BRACONNIER Nathalie"
"@JeanJC06","Lanceurdalerte_"
"@cVador4","Dark Vador©"
"@NessVador","sniper  #Patriote"
"@fairedesonmieux","Dr Robert"
"@LeRenardNet","Le Renard du Net"
"@Patriote_Occita","Patriote (Hérault)"
"@DoMontel","Do"
"@LaMartreBlanche","La Martre Blanche"
"@AG07PHL","Fredo Capitaine d’armée"
"@Rover75mg","Rover75"
"@Kaleyc911","Charles Tanepau"
"@sirhcgd","LA BAGUETTE"
"@L_Bontemps","LÉO BONTEMPS"
"@Patrici54503023","Patricia"
"@_JFR7","JFR"
"@Pythagore327_R","Pythagore327"
"@jo_ouch","Jo Ouch"
"@PietreMarie","F. Marie-Pierre"
"@Brest_fr84","Shamir Sarközy"
"@ValereCohen","Valerie Cohen"
"@HourregueH65898","Helene Marion H"
"@f_dpdr","Fdpdr"
"@ouioui1889","riri"
"@sentynelle","ripp"
"@anarofsparda","Dark-Alpha"
"@Lepatriote29BZH","Le patriote breton"
"@642Fiat","Membre"
"@Benlous93","Benlous Kun-Farm"
"@ToledeLouis","Tolede jean louis"
"@HoFabien","Bayard92"
"@jeff_assetout","Jeff  Assetout"
"@SAkhenat","rantanplouf"
"@clement_bcd_","Clément"
"@ulysse75010","Ulysse75010"
"@ArthusBrega","Pastafaripirate matricule 21726"
"@EmilieTuThai","Émilie เอมิลี่"
"@JeanneAline9","Aline de France"
"@johnnythunders9","johnny thunders"
"@2027Bardella","Bardella 2027"
"@Coeur26404664","Coeur"
"@Charlie94943672","Charlie Bravo"
"@VandenbergheAn6","Vandenberghe Anne"
"@taliesin1965","Myrddin Montjoie Saint Denis"
"@Danomatch","𝕮𝖍𝖆𝖗𝖑𝖊𝖘"
"@jofmegchan","Geoviti"
"@XCIC","Chris  PhD"
"@pipotbingo","pipot bingo"
"@URoyalev94811","Unite-RoyaleV  ⓇⓏ ✞"
"@JcMMarechal","Jc15"
"@herenuii771","Sandra Guerin UEphobe"
"@PapyPoneyclub","David de LACLOS"
"@RouanetLoulou","Intégralisme Organique (Florian Rouanet)"
"@TranquartM","MT19200"
"@Alexis14_59","Alexis"
"@tattoo1519","S.Holmes"
"@brosed_olivier","Olivier Brosed"
"@Darkrevan86","Gloriam"
"@Daval1921","HarDX"
"@Elena_al_limite","Elena"
"@GenevoisJeanne","Jeanne g"
"@TheTrueRAUM","ᛏ RAUM ᛏ"
"@Jac33233372289","Jac"
"@HenryFlecher","Membre"
"@Siys07505965","Ju  FrexiteurGaulliste"
"@Guilletchriste2","Guillet christelle #JamaisSansZemmour"
"@leChatRenard","𝕷𝖊 𝕮𝖍𝖆𝖙 𝕯𝖗𝖔𝖎𝖙𝖆𝖗𝖉"
"@Coline255","ᴅʀᴏ̂ʟᴇ ᴅᴇ ᴅᴀᴍᴇ"
"@CatherineDIFRA2","Catherine DIFRANCO"
"@MarieThrse33513","Marie"
"@PatbolPatr48618","tous azimutés"
"@Jean28109799","Le dernier cathare ZOOZ R!"
"@Kasimodal","Ben & Nuts"
"@cantindavid31","David patriote"
"@PadrinoClaudio1","il Padrino"
"@Longinus119","Longinus11"
"@goniesa","𝐺𝑙𝑜𝑟𝑖𝑎"
"@godefroid_de","Godefroid De Montmirail"
"@nimegue70","Sequanes"
"@Septenza2","LOUIS"
"@b18_k2","K2 B18"
"@Tubalcain66","Proserpine"
